product_key;Product_ID;product_key;Product_ID;Product_Name;Category_ID;Price;Launch_Date
;P-73;72;P-72;Apple One;CAT-8;488;2/5/2020
;P-74;73;P-73;HomePod;CAT-9;1202;11/8/2020
;P-75;74;P-74;HomePod mini;CAT-9;266;22/6/2023
;P-76;75;P-75;Magic Keyboard;CAT-10;368;16/5/2020
;P-77;76;P-76;Magic Keyboard with Touch ID;CAT-10;1162;9/4/2023
;P-78;77;P-77;Magic Mouse;CAT-10;313;26/8/2023
;P-79;78;P-78;Magic Trackpad;CAT-10;1242;25/5/2024
;P-80;79;P-79;Apple Pencil (1st Generation);CAT-10;925;30/6/2024
;P-81;80;P-80;Apple Pencil (2nd Generation);CAT-10;1506;21/6/2023
;P-82;81;P-81;Smart Keyboard Folio;CAT-10;572;10/3/2020
;P-83;82;P-82;Smart Cover for iPad;CAT-10;1014;25/1/2023
;P-84;83;P-83;Leather Case for iPhone;CAT-10;866;23/6/2022
;P-85;84;P-84;Silicone Case for iPhone;CAT-10;1210;22/1/2022
;P-86;85;P-85;MagSafe Battery Pack;CAT-10;1389;27/3/2020
;P-87;86;P-86;MagSafe Charger;CAT-10;1744;27/3/2024
;P-88;87;P-87;AirTag;CAT-10;677;11/5/2020
;P-89;88;P-88;Lightning to USB Cable;CAT-10;1434;5/1/2024
